SORT,VarID,VarTitle,VarDefinition,VarCategory,VarType,Source,UserNotes,VarID_Code,Count,Code,CodeDescription,DoubleCoding_notes,ShortName
236,,,,,,,,21_2,14,2,There is an additional featured instrument.,,Presence
237,V22,Does this instrument play the melody?,Whether the featured instrument plays the same melody as is sung by the singer.,Pause Analysis,Categorical,"Mullin, Lomax, et al. (1966-72); Wood (2021)",,22_NA,5,NA,Missing data,,Missing data
238,,,,,,,,22_0,612,0,There is no featured instrument.,,No featured instrument
239,,,,,,,,22_1,54,1,The featured instrument plays the sung melody.,,Yes
240,,,,,,,,22_2,16,2,The featured instrument does not play the sung melody.,,No
241,V23,Modal pauses,"The modal or most common length of pauses in the song, measured in seconds.",Pause Analysis,Ordinal,"Mullin, Lomax, et al. (1966-72); Wood (2021)",,23_NA,25,NA,Missing data,,Missing data
242,,,,,,,,23_0,74,0,No audible pauses,,No audible pauses
243,,,,,,,,23_1,484,1,Less than 1 second,,<1
244,,,,,,,,23_2,64,2,1 second,,1
245,,,,,,,,23_3,35,3,2-4 seconds,,2-4
246,,,,,,,,23_4,5,4,5 seconds or longer,,5 plus
247,V24,Pause structure,"A comparison between the length of the pauses between the largest repeated sections of the song, and the length of the melodic levels (groupings of units into larger units of melodic structure).",Pause Analysis,Ordinal,"Mullin, Lomax, et al. (1966-72); Wood (2021)",V24 and V25 were left uncoded when overlapping choral styles or other techniques obscured the pauses between phonation.,24_NA,243,NA,Missing data,,Missing data
248,,,,,,,,24_1,349,1,The pauses between the largest repeated sections are shorter than the modal unit.,,Less than level 1
249,,,,,,,,24_2,75,2,The pauses between the largest repeated sections are the same length as the modal unit.,,Equal to level 1
250,,,,,,,,24_3,9,3,The pauses between the largest repeated sections are longer than the modal unit or equal to the second level unit.,,"Greater than level 1, equal to level 2"
251,,,,,,,,24_4,11,4,The lengths of pauses between the largest repeated sections are between the length of the second level unit and the fourth level unit.,,"Greater than level 2, equal to level 4"
252,,,,,,,,24_5,0,5,The pauses between the largest repeated sections are longer than the highest unit level.,,Greater than highest level
253,V25,Modal pause length between larger sections,"The modal or most common length of pauses between the largest repeated sections in the song, measured in seconds.",Pause Analysis,Ordinal,"Mullin, Lomax, et al. (1966-72); Wood (2021)",V24 and V25 were left uncoded when overlapping choral styles or other techniques obscured the pauses between phonation.,25_NA,233,NA,Missing data,,Missing data
254,,,,,,,,25_1,319,1,Less than or equal to 1 second,,Less than or equal to 1
255,,,,,,,,25_2,107,2,2-15 seconds,,2-15
256,,,,,,,,25_3,28,3,15 seconds or longer,,15 plus
257,V26,Number of levels,"The number of melodic levels in the song, based on grouping repeated sequences of units into larger sections.",Levels of Melodic and Unit Analysis,Ordinal,"Mullin, Lomax, et al. (1966-72); Wood (2021)",,26_NA,3,NA,Missing data,,Missing data
258,,,,,,,,26_1,172,1,1 level,,1
259,,,,,,,,26_2,278,2,2 levels,,2
260,,,,,,,,26_3,215,3,3 levels,,3
261,,,,,,,,26_4,19,4,4 levels,,4
262,,,,,,,,26_5,0,5,5 levels,,5
263,V27,Number of levels regular,The number of levels in which all the units are the same length.,Levels of Melodic and Unit Analysis,Ordinal,"Mullin, Lomax, et al. (1966-72); Wood (2021)",,27_NA,0,NA,Missing data,,Missing data
264,,,,,,,,27_0,229,0,No regular levels,,0
265,,,,,,,,27_1,369,1,1 regular level,,1
266,,,,,,,,27_2,69,2,2 regular levels,,2
267,,,,,,,,27_3,18,3,3 regular levels,,3
268,,,,,,,,27_4,2,4,4 regular levels,,4
269,,,,,,,,27_5,0,5,5 regular levels,,5
270,V28,% Melody repeated,The proportion of the song's melody that is repeated.,Repetition Analysis,Categorical,"Mullin, Lomax, et al. (1966-72); Wood (2021)",,28_NA,5,NA,Missing data,,Missing data
271,,,,,,,,28_1,38,1,"Songs that have no repetition, not even motivic repetition; songs with some motivic repetition; songs with motivic repetition and maybe a few phrases that are repeated once, but no patterning of repetition; songs where phrases are partially repeated, with either motivic or melodic variation, and not in a predictable sequence.",, 0-50%
272,,,,,,,,28_2,33,2,Repeated sections are partially established. There is variation within the phrases or in the combination of phrases.,,66%
273,,,,,,,,28_3,101,3,"Repeated sections clearly defined, but variation within phrases.",,75%
274,,,,,,,,28_4,459,4,"There is slight variation in the melodic phrases, which are organized into repeated sections.",,90%
275,,,,,,,,28_5,51,5,"There is no variation in the melodic phrases, which are organized into repeated sections.",,All
276,,,,,,,,28_6,0,6,"There are multiple sections in the song where a single phrase or motif is repeated. Each section consists of the repetition of its own melodic material, but the sequence of sections is not necessarily repeated.",,Sectional
277,V29,Number of units in largest repeated section,The number of basic units of phonation in the largest repeated section of the song.,Repetition Analysis,Ordinal,"Mullin, Lomax, et al. (1966-72); Wood (2021)",,29_NA,42,NA,Missing data,,Missing data
278,,,,,,,,29_1,147,1,1 unit,,1
279,,,,,,,,29_2,130,2,2 units,,2
280,,,,,,,,29_3,79,3,3 units,,3
281,,,,,,,,29_4,96,4,4 units,,4
282,,,,,,,,29_5,104,5,5-6 units,,5-6
283,,,,,,,,29_6,37,6,7-8 units,,7-8
284,,,,,,,,29_7,42,7,9-20 units,,9-20
285,,,,,,,,29_8,9,8,11-45 units,,11-45
286,,,,,,,,29_9,1,9,45 units or more,,45 plus
287,V30,Length of repeated section,"The most frequently occuring length of the repeated sections of the song, measured in seconds.",Repetition Analysis,Ordinal,"Mullin, Lomax, et al. (1966-72); Wood (2021)",,30_NA,37,NA,Missing data,,Missing data
288,,,,,,,,30_1,174,1,0-10 seconds,,0-10
289,,,,,,,,30_2,217,2,11-20 seconds,,11-20
290,,,,,,,,30_3,204,3,21-40 seconds,,21-40
291,,,,,,,,30_4,55,4,40 seconds or longer,,40 plus
292,V31,Range of repeated section,"The range of lengths, in seconds, of the repeated sections of the song. Calculated by subtracting the shortest section length from the longest.",Repetition Analysis,Ordinal,"Mullin, Lomax, et al. (1966-72); Wood (2021)","In the original sample, V31 was left uncoded if the repeated sections were of regular lengths. The new coding rules don't stipulate this.",31_NA,242,NA,Missing data,,Missing data
293,,,,,,,,31_1,388,1,0-10 seconds,,0-10
294,,,,,,,,31_2,46,2,11-20 seconds,,11-20
295,,,,,,,,31_3,11,3,21-40 seconds,,21-40
296,,,,,,,,31_4,0,4,40 seconds or longer,,40 plus
297,V32,Amount of variation,The amount and type of variation that occurs in the repeated sections of the song.,Repetition Analysis,Categorical,"Mullin, Lomax, et al. (1966-72); Wood (2021)",,32_NA,7,NA,Missing data,,Missing data
298,,,,,,,,32_1,319,1,There is no variation within the repeated sections.,,None
299,,,,,,,,32_2,71,2,There are obvious tempo changes within the repeated sections.,,Obvious internal
300,,,,,,,,32_3,26,3,The only variation in the repeated sections is a few easily perceived pitch alterations.,,Obvious tonal
301,,,,,,,,32_4,94,4,There is a great deal of internal variation within the repeated sections not easily characterized.,,"Subtle internal, tonal"
302,,,,,,,,32_5,90,5,There are obvious additions or subtractions of melodic units in the repeated sections.,,Obvious addition or subtraction of units
303,,,,,,,,32_6,41,6,"There is subtle variation in the repeated sections that can be categorized as an addition or subtraction of units, or subtle internal variation combined with an addition or subtraction of units.",,Subtle addition or subtraction of units
304,,,,,,,,32_7,39,7,There is periodic insertion of new melodic material into the repeated sections.,,Melodic
305,V33,Important melodic unit length,"The modal or most common length, in seconds, of the important melodic units of the song (different from the basic units of phonation because defined by melodic criteria rather than pause markers).",Melodic Units,Ordinal,"Mullin, Lomax, et al. (1966-72); Wood (2021)",V33 and V34 concerning Melodic Units were only coded when necessary to supplement missing information in the Basic Unit Analysis and Pause Analysis (i.e. when pauses were obscured so melodic units were measured rather than units of phonation between pauses).,33_NA,511,NA,Missing data,,Missing data
306,,,,,,,,33_1,34,1,1-3 seconds,,1-3
307,,,,,,,,33_2,79,2,4-6 seconds,,4-6
308,,,,,,,,33_3,35,3,7-9 seconds,,7-9
309,,,,,,,,33_4,28,4,10 seconds or longer,,10 plus
310,V34,Range of melodic units,"The range of lengths, in seconds, of the important melodic units of the song. Calculated by subtracting the shortest melodic unit length from the longest.",Melodic Units,Ordinal,"Mullin, Lomax, et al. (1966-72); Wood (2021)",V33 and V34 concerning Melodic Units were only coded when necessary to supplement missing information in the Basic Unit Analysis and Pause Analysis (i.e. when pauses were obscured so melodic units were measured rather than units of phonation between pauses).,34_NA,518,NA,Missing data,,Missing data
311,,,,,,,,34_1,134,1,1-3 seconds,,1-3
312,,,,,,,,34_2,25,2,4-6 seconds,,4-6
313,,,,,,,,34_3,3,3,7-9 seconds,,7-9
314,,,,,,,,34_4,7,4,10 seconds or longer,,10 plus
