M-id,C-id,Local_lat,Local_long,Region,Division,Subregion,Area/Kingdom,Culture,Culture_loc,M_cid,Audio_notes,Duration,Audio_file,Archival_source#,Song,Genre,Song_notes,Performers,Instruments,Lyrics,Living_metadata,Recorded_by,Year,Publisher,Publcation_collection,Repository,Classification_notes,Audio_file_Pending,Metadata_notes,Source_Notes,Source Tag
0135,,32.22,-110.97,North America,United States,Southwest US,Arizona,Hopituh Shi-nu-mu,"Tucson, Arizona",16831,,,,T1456.B4,,,,"Male solo, drum",Male Voice; Drum,,,Mary A. Schweitzer,1954-56,Previously Unpublished,"North and South American Indian Recordings, Global Jukebox, ACE 2013","Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",,,,"Hopi Recordings from source T1456 were made by artist Mac Schweitzer in the mid-50's in Tucson, AZ. These details were confirmed by her son, Kit Schweitzer. She passed away in 1962, and we have been unable to find other songs that match the tunes forms that she collected; Recordings of indigenous North Americans will not be published on this site without permission from tribal representatives.",@ALC1954-6NorthAndSouthAmericanIndian
0136,3315,35.78,-110.5,North America,United States,Southwest US,Arizona,Hopituh Shi-nu-mu,"Hopi Reservation, Arizona [Recorded in New York, New York]",16831,,0:01:22,PENDING,T1464.3,"Snake Dance, excerpt",Dance Song; Animal Song; For Ancestors; Rain Song,"Dance song, beseeches the Hopi clan ancestor, the snake, to bring early Autumn rains","Male chorus, drums, rattles",Male Voices; Drums; Rattles,,,Laura Boulton,1940,Smithsonian Folkways,Hopi Katcina Songs and Six Songs by Hopi Chanters. Smithsonian Folkways. FW04394 1964,"Ralph Rinzler Folklife Archives and Collections, Smithsonian Center for Folklife and Cultural Heritage. http://www.folklife.si.edu/archive; Copy in Alan Lomax Collection, American Folklife Center, Library of Congress; All rights held by Columbia University",,T5406R49,,"Performers were 5 Hopi Natives probably from Second Mesa AZ, touring the country with M. W. Billingsley, originally recorded by Victor Records.; http://www.folkways.si.edu/porter-timeche/snake-dance/american-indian/music/track/smithsonian; Recordings of indigenous North Americans will not be published on this site without permission from tribal representatives.",@FW1964HopiKatcinaSongs
0137,3306,36.06,-109.18,North America,United States,Southwest US,Arizona,Hopituh Shi-nu-mu,"Navajo Nation, Arizona [Recorded in New York, New York]",16831,,0:01:17,PENDING,T1464.2,Eagle Dance,Animal Song; Spirit Song; Healing Song; Dance Song,The lyrics of this song describe the soaring eagle as a link between heaven and earth and the dance is done as part of a healing ritual that calls on the spiritual strength of the eagle to cure any disease,"Porter Timeche, male chorus, drum",Male Voice; Male Voices; Drum,,,Laura Boulton,1940,Smithsonian Folkways,Hopi Katcina Songs and Six Songs by Hopi Chanters. Smithsonian Folkways. FW04394 1964,"Ralph Rinzler Folklife Archives and Collections, Smithsonian Center for Folklife and Cultural Heritage. http://www.folklife.si.edu/archive; Copy in Alan Lomax Collection, American Folklife Center, Library of Congress; All rights held by Columbia University",,T5406R40,,"Performers were 5 Hopi Natives probably from Second Mesa AZ, touring the country with M. W. Billingsley, originally recorded by Victor Records.; http://www.folkways.si.edu/porter-timeche/eagle-dance/american-indian/music/track/smithsonian; Recordings of indigenous North Americans will not be published on this site without permission from tribal representatives.",@FW1964HopiKatcinaSongs
0138,,32.22,-110.97,North America,United States,Southwest US,Arizona,Hopituh Shi-nu-mu,"Tucson, Arizona",16831,,,,T1456.B13,,,,"Male chorus, drum",Male Voices; Drum,,,Mary A. Schweitzer,1954-56,Previously Unpublished,"North and South American Indian Recordings, Global Jukebox, ACE 2013","Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",,,,"Hopi Recordings from source T1456 were made by artist Mac Schweitzer in the mid-50's in Tucson, AZ. These details were confirmed by her son, Kit Schweitzer. She passed away in 1962, and we have been unable to find other songs that match the tunes forms that she collected; Recordings of indigenous North Americans will not be published on this site without permission from tribal representatives.",@ALC1954-6NorthAndSouthAmericanIndian
0139,,32.22,-110.97,North America,United States,Southwest US,Arizona,Hopituh Shi-nu-mu,"Tucson, Arizona",16831,,,,T1456.B17,,,,"Male solo, drum",Male Voice; Drum,,,Mary A. Schweitzer,1954-56,Previously Unpublished,"North and South American Indian Recordings, Global Jukebox, ACE 2013","Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",,,,"Hopi Recordings from source T1456 were made by artist Mac Schweitzer in the mid-50's in Tucson, AZ. These details were confirmed by her son, Kit Schweitzer. She passed away in 1962, and we have been unable to find other songs that match the tunes forms that she collected; Recordings of indigenous North Americans will not be published on this site without permission from tribal representatives.",@ALC1954-6NorthAndSouthAmericanIndian
0140,3311,32.22,-110.97,North America,United States,Southwest US,Arizona,Hopituh Shi-nu-mu,"Tucson, Arizona",16831,,0:01:11,PENDING,T1456.B10,Male Chorus with Drum,,,"Male chorus, drum",Male Voices; Drum,,,Mary A. Schweitzer,1954-56,Previously Unpublished,"North and South American Indian Recordings, Global Jukebox, ACE 2013","Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",,T5406R45,,"Hopi Recordings from source T1456 were made by artist Mac Schweitzer in the mid-50's in Tucson, AZ. These details were confirmed by her son, Kit Schweitzer. She passed away in 1962, and we have been unable to find other songs that match the tunes forms that she collected; Recordings of indigenous North Americans will not be published on this site without permission from tribal representatives.",@ALC1954-6NorthAndSouthAmericanIndian
0141,3312,32.22,-110.97,North America,United States,Southwest US,Arizona,Hopituh Shi-nu-mu,"Tucson, Arizona",16831,,0:01:10,PENDING,T1456.B9,Male Chorus with Drum,,,"Male chorus, drum",Male Voices; Drum,,,Mary A. Schweitzer,1954-56,Previously Unpublished,"North and South American Indian Recordings, Global Jukebox, ACE 2013","Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",,T5406R46,,"Hopi Recordings from source T1456 were made by artist Mac Schweitzer in the mid-50's in Tucson, AZ. These details were confirmed by her son, Kit Schweitzer. She passed away in 1962, and we have been unable to find other songs that match the tunes forms that she collected; Recordings of indigenous North Americans will not be published on this site without permission from tribal representatives.",@ALC1954-6NorthAndSouthAmericanIndian
0142,3307,32.22,-110.97,North America,United States,Southwest US,Arizona,Hopituh Shi-nu-mu,"Tucson, Arizona",16831,,0:01:12,PENDING,T1456.B2,Hopi Song,,,"Male solo, drum",Male Voice; Drum,,,Mary A. Schweitzer,1954-56,Previously Unpublished,"North and South American Indian Recordings, Global Jukebox, ACE 2013","Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",,T5406R41,,"Hopi Recordings from source T1456 were made by artist Mac Schweitzer in the mid-50's in Tucson, AZ. These details were confirmed by her son, Kit Schweitzer. She passed away in 1962, and we have been unable to find other songs that match the tunes forms that she collected; Recordings of indigenous North Americans will not be published on this site without permission from tribal representatives.",@ALC1954-6NorthAndSouthAmericanIndian
0143,1238,43.05,-80.12,North America,United States/ Canada,Great Lakes/ N E Woodlands,Lake Ontario,Haudenosaunee,"Six Nations of the Grand River First Nation, Ontario, Canada",17282,,0:01:19,PENDING,"1B11.B1,1",Corn Song,Social Dance; Dance Song,"Social dance for the food spirits, excerpt","George Buck, male vocal duet, rattle",2 Male Voices; Rattle,,,William N. Fenton,1941,Library of Congress,"Songs from the Iroquois Longhouse. Archive of American Folk Song AFS L6, 1942","Archive of Folk Culture, American Folklife Center, Library of Congress; Copy in Alan Lomax Collection, American Folklife Center, Library of Congress","Culture lat./long. plotted for the six Iroquois nations, with the most central point as the culture lat/long.",T5406R68,,Recordings of indigenous North Americans will not be published on this site without permission from tribal representatives.,@AFS1942Iroquois
0144,1701,42.1,-78.91,North America,United States/ Canada,Great Lakes/ N E Woodlands,Lake Ontario,Haudenosaunee,"Coldspring, Cattaraugus County, New York",17282,,0:01:23,PENDING,1B12.A31,I'yondatha: De'Swadenyon,Courtship Song,"Quavering, Changing-a-rib, women's courtship ritual, excerpt","Chauncey Johnny John, Albert Jones, male vocal duet, water drum, rattle",2 Male Voices; Water Drum; Rattle,,,William N. Fenton,1945,Library of Congress,"Seneca Songs from Coldspring Longhouse. Archive of American Folk Song AAFS L17, 1948","Archive of Folk Culture, American Folklife Center, Library of Congress; Copy in Alan Lomax Collection, American Folklife Center, Library of Congress","Culture lat./long. plotted for the six Iroquois nations, with the most central point as the culture lat/long.",T5406R76,,Recordings of indigenous North Americans will not be published on this site without permission from tribal representatives.,@AFS1947Seneca
0145,1700,42.1,-78.91,North America,United States/ Canada,Great Lakes/ N E Woodlands,Lake Ontario,Haudenosaunee,"Coldspring, Cattaraugus County, New York",17282,,0:01:15,PENDING,"1B12.A1,1",Gane' o' on,Thanksgiving Song; Dance Song; Ritual Song,"Drum dance, ritual of thanksgiving, excerpt","Chauncey Johnny John, Albert Jones, male vocal duet, water drum, rattle",2 Male Voices; Water Drum; Rattle,,,William N. Fenton,1945,Library of Congress,"Seneca Songs from Coldspring Longhouse. Archive of American Folk Song AAFS L17, 1948","Archive of Folk Culture, American Folklife Center, Library of Congress; Copy in Alan Lomax Collection, American Folklife Center, Library of Congress","Culture lat./long. plotted for the six Iroquois nations, with the most central point as the culture lat/long.",T5406R75,,Recordings of indigenous North Americans will not be published on this site without permission from tribal representatives.,@AFS1947Seneca
0146,1698,42.11,-78.8,North America,United States/ Canada,Great Lakes/ N E Woodlands,Lake Ontario,Haudenosaunee,"Red House, Cattaraugus County, NY",17282,,0:00:35,PENDING,"1B12.B5,1",Fish Dance,Social Dance; Dance Song,"Social dance attached to no special ritual, excerpt","Chauncey Johnny John, Albert Jones, male vocal duet, water drum, rattle",2 Male Voices; Water Drum; Rattle,,,William N. Fenton,1945,Library of Congress,"Seneca Songs from Coldspring Longhouse. Archive of American Folk Song AAFS L17, 1948","Archive of Folk Culture, American Folklife Center, Library of Congress; Copy in Alan Lomax Collection, American Folklife Center, Library of Congress","Culture lat./long. plotted for the six Iroquois nations, with the most central point as the culture lat/long.",T5406R73,,Recordings of indigenous North Americans will not be published on this site without permission from tribal representatives.,@AFS1947Seneca
0147,1239,42.1,-78.91,North America,United States/ Canada,Great Lakes/ N E Woodlands,Lake Ontario,Haudenosaunee,"Coldspring, Cattaraugus County, New York",17282,"Distortion; track audio falls out at start, returns to normal",0:01:12,PENDING,"1B12.B1,1",Quavering,Courtship Song,"Women's courtship ritual, slower section than previous Quavering, excerpt","Chauncey Johnny John, Albert Jones: male vocal duet, water drum, rattle",2 Male Voices; Water Drum; Rattle,,,William N. Fenton,1945,Library of Congress,"Seneca Songs from Coldspring Longhouse. Archive of American Folk Song AAFS L17, 1948","Archive of Folk Culture, American Folklife Center, Library of Congress; Copy in Alan Lomax Collection, American Folklife Center, Library of Congress","Culture lat./long. plotted for the six Iroquois nations, with the most central point as the culture lat/long.",T5406R69m,,Recordings of indigenous North Americans will not be published on this site without permission from tribal representatives.,@AFS1947Seneca
0148,1236,42.1,-78.91,North America,United States/ Canada,Great Lakes/ N E Woodlands,Lake Ontario,Haudenosaunee,"Coldspring, Cattaraugus County, New York",17282,,0:01:08,PENDING,"1B12.A4,1",Quavering,Courtship Song,"Women's courtship ritual, excerpt","Chauncey Johnny John, Albert Jones, male vocal duet, water drum, rattle",2 Male Voices; Water Drum; Rattle,,,William N. Fenton,1945,Library of Congress,"Seneca Songs from Coldspring Longhouse. Archive of American Folk Song AAFS L17, 1948","Archive of Folk Culture, American Folklife Center, Library of Congress; Copy in Alan Lomax Collection, American Folklife Center, Library of Congress","Culture lat./long. plotted for the six Iroquois nations, with the most central point as the culture lat/long.",T5406R66,,Recordings of indigenous North Americans will not be published on this site without permission from tribal representatives.,@AFS1947Seneca
0149,181,51.25,-85.32,North America,United States/ Canada,Great Lakes/ N E Woodlands,Lake Ontario,Haudenosaunee,"Grand River Reservation, Ontario, Canada",17282,,0:01:03,PENDING,7B2.A4,The Corn Dance,Thanksgiving Song; Dance Song; Chief's Song; Corn Song; Ritual Song,The leader of this thanksgiving ritual song is a Cayuga member of the Little Bear Clan and a hereditary chief whose title descends from a founder of the Great Confederacy,"Alex General, male leader, male chorus, rattle",Male Voice; Male Voices; Rattle,,,Canadian National Film Board,1950,Columbia Records,"Columbia World Library of Folk and Primitive Music: Canada. Columbia Records KL 211, 1955-1964","Copy in Alan Lomax Collection, American Folklife Center, Library of Congress","Culture lat./long. plotted for the six Iroquois nations, with the most central point as the culture lat/long.",T5406R65,"On Minutage Coding Sheet, the source # is given as 1B2.A4  However coding sheet also matches this song with C-id 181. I believe source # on coding sheet is an error.",Recordings of indigenous North Americans will not be published on this site without permission from tribal representatives.,@CFPM1955-64Canada
0150,180,51.25,-85.32,North America,United States/ Canada,Great Lakes/ N E Woodlands,Lake Ontario,Haudenosaunee,"Grand River Reservation, Ontario, Canada",17282,,0:01:18,PENDING,7B2.A1; WFS3.1,Rain Dance,Dance Song; Magic Song; Rain Song,The villagers performed this dance of sympathetic magic in the summer to bring rain,"George Buck, Willy John, male leader, male chorus, water drum, rattle ",Male Voice; Male Voices; Water Drum; Rattle,,,Canadian National Film Board,1950,Columbia Records,"Columbia World Library of Folk and Primitive Music: Canada. Columbia Records KL 211, 1955-1964","Copy in Alan Lomax Collection, American Folklife Center, Library of Congress","Culture lat./long. plotted for the six Iroquois nations, with the most central point as the culture lat/long.",T5406R64,"On Minutage Coding Sheet, the source # is given as 1B2.A1  However coding sheet also matches this song with C-id 180. I believe source # on coding sheet is an error.",Recordings of indigenous North Americans will not be published on this site without permission from tribal representatives.,@CFPM1955-64Canada
0151,1240,42.1,-78.91,North America,United States/ Canada,Great Lakes/ N E Woodlands,Lake Ontario,Haudenosaunee,"Coldspring, Cattaraugus County, New York",17282,,0:00:46,PENDING,"1B12.A2,1",The Drum Dance,Thanksgiving Song; Dance Song,"Short songs with interpolated thanksgiving prayers from earth to heaven, excerpt","Chauncey Johnny John, Albert Jones: male vocal duet, water drum, rattle",2 Male Voices; Water Drum; Rattle,,,William N. Fenton,1945,Library of Congress,"Seneca Songs from Coldspring Longhouse. Archive of American Folk Song AAFS L17, 1948","Archive of Folk Culture, American Folklife Center, Library of Congress; Copy in Alan Lomax Collection, American Folklife Center, Library of Congress","Culture lat./long. plotted for the six Iroquois nations, with the most central point as the culture lat/long.",T5406R70,,Recordings of indigenous North Americans will not be published on this site without permission from tribal representatives.,@AFS1947Seneca
0152,1673,49.19,-113.3,North America,Canada,Canadian Plains,Alberta/ N W Territories/ Saskatchewan,Káínawa,"Blood Reserve, Cardston, Alberta, Canada",12343,,0:02:34,PENDING,T6689.B4; 1B6.B4,Owl Dance Song,Dance Song; Social Dance,"The Owl Dance, among the most popular social dances of the Blood tribe, typically instrumental","Male or mixed chorus, drum",Male-Mixed Voices; Drum,,,"Kenneth Peacock, National Museum of Canada",1953-54,Smithsonian Folkways,"Indian Music Of The Canadian Plains. Ethnic Folkways Library FE 4464, 1955","Ralph Rinzler Folklife Archives and Collections, Smithsonian Center for Folklife and Cultural Heritage. http://www.folklife.si.edu/archive; Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",,T5407R57,,"Recordings furnished by Dr. Peacock. No tape notes for T6689. However, this recording is on LP IB6; http://www.folkways.si.edu/unspecified/blood-owl-dance-song/american-indian/music/track/smithsonian; Recordings of indigenous North Americans will not be published on this site without permission from tribal representatives.",@FW1955IndianMusicOfCanadianPlains
0153,1672,49.19,-113.3,North America,Canada,Canadian Plains,Alberta/ N W Territories/ Saskatchewan,Káínawa,"Blood Reserve, Cardston, Alberta, Canada",12343,,0:01:50,PENDING,T6689.B5; 1B6.B5,Sun Dance Song,Religious Song; Praise Song; Dance Song; Ceremonial Song,"Relgious song, excerpt from a long ceremony celebrating the sun","Jim Low Horn, Jack Low Horn, and Mrs. Emil Wings, mixed chorus, drum",Mixed Voices; Drum,,,"Kenneth Peacock, National Museum of Canada",1953-54,Smithsonian Folkways,"Indian Music Of The Canadian Plains. Ethnic Folkways Library FE 4464, 1955","Ralph Rinzler Folklife Archives and Collections, Smithsonian Center for Folklife and Cultural Heritage. http://www.folklife.si.edu/archive; Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",,T5407R58,,Recordings furnished by Dr. Peacock. No tape notes for T6689 but recording is on LP IB6; http://www.folkways.si.edu/jim-low-horn-jack-low-horn-and-mrs-emil-wings/blood-sun-dance-song/american-indian/music/track/smithsonian; Recordings of indigenous North Americans will not be published on this site without permission from tribal representatives.,@FW1955IndianMusicOfCanadianPlains
0154,1674,49.19,-113.3,North America,Canada,Canadian Plains,Alberta/ N W Territories/ Saskatchewan,Káínawa,"Blood Reserve, Cardston, Alberta, Canada",12343,,0:02:15,PENDING,T6689.B2; WFS3.4; 1B6.B2,Grass Dance Song,Dance Song; Festival Song,"The Grass Dance, often danced as a part of the Sun Dance Festival","Male chorus, drum, leg bells",Male Voices; Drum; Leg Bells,,,"Kenneth Peacock, National Museum of Canada",1953-54,Smithsonian Folkways,"Indian Music Of The Canadian Plains. Ethnic Folkways Library FE 4464, 1955","Ralph Rinzler Folklife Archives and Collections, Smithsonian Center for Folklife and Cultural Heritage. http://www.folklife.si.edu/archive; Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",,T5407R55,,"Recordings furnished by Dr. Peacock. No tape notes for T6689. However, this recording is on LP IB6; http://www.folkways.si.edu/blood-grass-dance-song/american-indian/music/track/smithsonian; Recordings of indigenous North Americans will not be published on this site without permission from tribal representatives.",@FW1955IndianMusicOfCanadianPlains
0155,1669,49.19,-113.3,North America,Canada,Canadian Plains,Alberta/ N W Territories/ Saskatchewan,Káínawa,"Blood Reserve, Cardston, Alberta, Canada",12343,,0:01:22,PENDING,T6689.B8; 1B6.B8,Owl Dance,Dance Song,"An atypical version of the popular Owl Dance song, which is sung in harmony ","Adam and Wallace Delaney, drum",2 Male Voices; Drum,,,"Kenneth Peacock, National Museum of Canada",1953-54,Smithsonian Folkways,"Indian Music Of The Canadian Plains. Ethnic Folkways Library FE 4464, 1955","Ralph Rinzler Folklife Archives and Collections, Smithsonian Center for Folklife and Cultural Heritage. http://www.folklife.si.edu/archive; Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",,T5407R61,,"Recordings furnished by Dr. Peacock. No tape notes for T6689. However, this recording is on LP IB6; http://www.folkways.si.edu/adam-and-wallace-delaney/blood-owl-dance-song/american-indian/music/track/smithsonian; Recordings of indigenous North Americans will not be published on this site without permission from tribal representatives.",@FW1955IndianMusicOfCanadianPlains
0156,1670,49.19,-113.3,North America,Canada,Canadian Plains,Alberta/ N W Territories/ Saskatchewan,Káínawa,"Blood Reserve, Cardston, Alberta, Canada",12343,,0:02:43,PENDING,T6689.B7; 1B6.B7,Serenade,Serenade; Festival Song,"Serenade, young men would compose languorous melodies at night in their camps, with the tribe no longer riding on extended trips, these songs are primarily sung at annual festivals","Adam Delaney and group, male chorus",Male Voice; Male Voices,,,"Kenneth Peacock, National Museum of Canada",1953-54,Smithsonian Folkways,"Indian Music Of The Canadian Plains. Ethnic Folkways Library FE 4464, 1955","Ralph Rinzler Folklife Archives and Collections, Smithsonian Center for Folklife and Cultural Heritage. http://www.folklife.si.edu/archive; Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",,T5407R60,,"Recordings furnished by Dr. Peacock. No tape notes for T6689. However, this recording is on LP IB6; http://www.folkways.si.edu/adam-delaney-and-group/blood-serenade/american-indian/music/track/smithsonian; Recordings of indigenous North Americans will not be published on this site without permission from tribal representatives.",@FW1955IndianMusicOfCanadianPlains
0157,1671,49.19,-113.3,North America,Canada,Canadian Plains,Alberta/ N W Territories/ Saskatchewan,Káínawa,"Blood Reserve, Cardston, Alberta, Canada",12343,,0:01:46,PENDING,T6689.B6; 1B6.B6,Crazy Dog Dance,War Dance Song,"War dance song, the Crazy Dogs were a military organization know for their courage in battle, they would sing and dance after their return from successful battles","Jim Low Horn, Jack Low Horn, and Mrs. Emil Wings, drum, rattle",Mixed Voices; Drum; Rattle,,,"Kenneth Peacock, National Museum of Canada",1953-54,Smithsonian Folkways,"Indian Music Of The Canadian Plains. Ethnic Folkways Library FE 4464, 1955","Ralph Rinzler Folklife Archives and Collections, Smithsonian Center for Folklife and Cultural Heritage. http://www.folklife.si.edu/archive; Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",,T5407R59,,"Recordings furnished by Dr. Peacock. No tape notes for T6689. However, this recording is on LP IB6; http://www.folkways.si.edu/jim-low-horn-jack-low-horn-and-mrs-emil-wings/blood-crazy-dog-dance-song/american-indian/music/track/smithsonian; Recordings of indigenous North Americans will not be published on this site without permission from tribal representatives.",@FW1955IndianMusicOfCanadianPlains
0158,1675,49.19,-113.3,North America,Canada,Canadian Plains,Alberta/ N W Territories/ Saskatchewan,Káínawa,"Blood Reserve, Cardston, Alberta, Canada",12343,,0:02:16,PENDING,T6689.B3; 1B6.B3,Chicken Dance Song,Dance Song; Animal Song,"A popular solo dance among men and young boys, the Chicken Dance started as an imitation of prairie chickens, and now dancers wear elaborate feather tail-pieces","Male chorus, drum, leg bells",Male Voices; Drum; Leg Bells,,,"Kenneth Peacock, National Museum of Canada",1953-54,Smithsonian Folkways,"Indian Music Of The Canadian Plains. Ethnic Folkways Library FE 4464, 1955","Ralph Rinzler Folklife Archives and Collections, Smithsonian Center for Folklife and Cultural Heritage. http://www.folklife.si.edu/archive; Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",,T5407R56,"Minutage Coding Sheet notes this song as not being coded for Cantometrics. However, C-id 1675 shares the source # and seems to be a match.","Recordings furnished by Dr. Peacock. No tape notes for T6689. However, this recording is on LP IB6; http://www.folkways.si.edu/blood-chicken-dance-song/american-indian/music/track/smithsonian; Recordings of indigenous North Americans will not be published on this site without permission from tribal representatives.",@FW1955IndianMusicOfCanadianPlains
0159,2490,47.5,-114.33,North America,United States,N W United States,Rocky Mts,Bitterroot Salish,"Flathead Indian Reservation, Montana",15368,,0:02:23,PENDING,1B4.B2B,"Stick Game Song, Part 2",Gambling Song; Game Song; Stick Game Song; Hand Game Song,Gambling stick and hand game song,Pete Charley,Male Voice,,,Alan P. Merriam,1950,Smithsonian Folkways,"Songs And Dances of the Flathead Indians. Ethnic Folkways Library FE 4445, 1953","Ralph Rinzler Folklife Archives and Collections, Smithsonian Center for Folklife and Cultural Heritage. http://www.folklife.si.edu/archive; Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",,T5408R12,,http://www.folkways.si.edu/TrackDetails.aspx?itemid=13047; Recordings of indigenous North Americans will not be published on this site without permission from tribal representatives.,@FW1953SongsAndDancesOfTheFlatheadIndians
0160,2489,47.5,-114.33,North America,United States,N W United States,Rocky Mts,Bitterroot Salish,"Flathead Indian Reservation, Montana",15368,,0:01:32,PENDING,1B4.B3,Lullaby,Lullaby,Song for soothing the children,Jerome Vanderburg,Male Voice,,,Alan P. Merriam,1950,Smithsonian Folkways,"Songs And Dances of the Flathead Indians. Ethnic Folkways Library FE 4445, 1953","Ralph Rinzler Folklife Archives and Collections, Smithsonian Center for Folklife and Cultural Heritage. http://www.folklife.si.edu/archive; Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",,T5408R15,,http://www.folkways.si.edu/TrackDetails.aspx?itemid=13049; Recordings of indigenous North Americans will not be published on this site without permission from tribal representatives.,@FW1953SongsAndDancesOfTheFlatheadIndians
0161,,47.5,-114.33,North America,United States,N W United States,Rocky Mts,Bitterroot Salish,"Flathead Indian Reservation, Montana",15368,,0:01:17,,1B4.B5,Scalp Dance Song,Dance song; courtship song; victory song,"Combines elements of the old Scalp Dance and the Marrying Dance, of which the latter is no longer to be found. The first part of the dance was performed by the women who dressed in men's clothing and danced in a circle to celebrate the return of a victorious war party. In another version, men and women form parallel lines, and the men propose marriage by laying a stick bearing recently taken scalps over the shoulder of the woman he desires.",Jerome and Agnes Vanderburg; hand drum,Male and Female Voices; Hand Drum,,,Alan P. Merriam,1950,Smithsonian Folkways,"Songs And Dances of the Flathead Indians. Ethnic Folkways Library FE 4445, 1953","Ralph Rinzler Folklife Archives and Collections, Smithsonian Center for Folklife and Cultural Heritage. http://www.folklife.si.edu/archive; Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",,,,https://folkways.si.edu/jerome-and-agnes-vanderburg/scalp-dance-song/american-indian/music/track/smithsonian,@FW1953SongsAndDancesOfTheFlatheadIndians
0162,189,47.5,-114.33,North America,United States,N W United States,Rocky Mts,Bitterroot Salish,"Flathead Indian Reservation, Montana",15368,,0:01:44,PENDING,1B4.A1; WFS3.5,War Dance Song,War Dance Song,"Flathead Indian War Dance, sung as a call and response between a leader and the rest of the group. As they sing, the move counterclockwise around a center pole.","Louie Nine Pipe, Paul Finley",Male Voice; Male Voices; Drum,,,Alan P. Merriam,1950,Smithsonian Folkways,"Songs And Dances of the Flathead Indians. Ethnic Folkways Library FE 4445, 1953","Ralph Rinzler Folklife Archives and Collections, Smithsonian Center for Folklife and Cultural Heritage. http://www.folklife.si.edu/archive; Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",,T5408R05,,http://www.folkways.si.edu/TrackDetails.aspx?itemid=11352; Recordings of indigenous North Americans will not be published on this site without permission from tribal representatives.,@FW1953SongsAndDancesOfTheFlatheadIndians
0163,2488,47.5,-114.33,North America,United States,N W United States,Rocky Mts,Bitterroot Salish,"Flathead Indian Reservation, Montana",15368,,0:01:08,PENDING,1B4.B6,Scalp Dance Song,Dance Song,Sung by men while waiting for the women to prepare for the Scalp Dance.,"Jerome Vanderburg, Agnes Vanderburg",Male Voice; Female Voice,,,Alan P. Merriam,1950,Smithsonian Folkways,"Songs And Dances of the Flathead Indians. Ethnic Folkways Library FE 4445, 1953","Ralph Rinzler Folklife Archives and Collections, Smithsonian Center for Folklife and Cultural Heritage. http://www.folklife.si.edu/archive; Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",,T5408R16,,http://www.folkways.si.edu/jerome-and-agnes-vanderburg/scalp-dance-song-2/american-indian/music/track/smithsonian; Recordings of indigenous North Americans will not be published on this site without permission from tribal representatives.,@FW1953SongsAndDancesOfTheFlatheadIndians
0164,2493,47.5,-114.33,North America,United States,N W United States,Rocky Mts,Bitterroot Salish,,15368,,0:01:06,PENDING,1B4.A3,Wake-up Song,Wake-Up Song,Song for waking up the community,Jerome Vanderburg,Male Voice,,,Alan P. Merriam,1950,Smithsonian Folkways,"Songs And Dances of the Flathead Indians. Ethnic Folkways Library FE 4445, 1953","Ralph Rinzler Folklife Archives and Collections, Smithsonian Center for Folklife and Cultural Heritage. http://www.folklife.si.edu/archive; Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",,T5408R06,,http://www.folkways.si.edu/TrackDetails.aspx?itemid=13039; Recordings of indigenous North Americans will not be published on this site without permission from tribal representatives.,@FW1953SongsAndDancesOfTheFlatheadIndians
0165,2487,47.5,-114.33,North America,United States,N W United States,Rocky Mts,Bitterroot Salish,"Flathead Indian Reservation, Montana",15368,,0:02:06,PENDING,1B4.A8,Owl Dance Song,Dance Song; Animal Song; Circle Dance; Dance In Pairs,Couples dance side by side and move clockwise in a circle. Precedes War Dance.,Louie Nine Pipe,Male Voices,,,Alan P. Merriam,1950,Smithsonian Folkways,"Songs And Dances of the Flathead Indians. Ethnic Folkways Library FE 4445, 1953","Ralph Rinzler Folklife Archives and Collections, Smithsonian Center for Folklife and Cultural Heritage. http://www.folklife.si.edu/archive; Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",,T5408R10,,"http://www.folkways.si.edu/TrackDetails.aspx?itemid=13044; Recordings of indigenous North Americans will not be published on this site without permission from tribal representatives.
",@FW1953SongsAndDancesOfTheFlatheadIndians
