P_id,CultureName_Speaker1,P_cid_Speaker1,CultureName_Speaker2,P_cid_Speaker2,Identifier_LomaxTape,Type_TapeCategory,Recording_Title,Tape_Description,Source_notes,Speech_Description,Monologue/Dialogue,Duration,Lomax_notes,Speakers_Gender/Number/Age,Speakers_Names,SubjectLanguage_SIL14,SubjectLanguage_SIL15,SubjectLanguage_SIL,SubjectLanguage_Given,SubjectDialect_Given,Researcher_Language,Location_Recorded,Coverage,Date,Contributor_Interviewer,Contributor_Researcher,Researcher_Affiliation,Contributor_Depositor,Contributor_Compiler,All_Languages_On_Tape,Source_Format,Audio_notes,ResourceID,Identifier_FileName,Format_Digital,Date_Digitized,Digitized.On,Priority,Digital audio notes,Rights_Online,Contact_Information,Resource_Type,Linguistic_Type,Parla_Accession_No,Old_Parla_Accession_No,C#,C#s_on_Tape,Lomax_Cat_#,Associated_Compilation_Tapes,Metadata_notes,Coding_notes,Source Tag
31,Zapotec,29239,,,T5182,Raw audio,Zapotec 2,Zapotec recordings sent from Gregory Truex in Mexico.,,,Dialogue,,,"1 male, 1 female",,,zap,Zapotec,Zapotec,,,,,1971-01,,Gregory Truex,SIL Mexico,SIL Mexico,Alan Lomax,,"1/4"" wide magnetic audio tape.  5"" reel.  7.5 ips.  ",,A00122,TP5182R02,"24 bit, 96 kHz, uncompressed .wav",2005-11,Toshiba,I,,Permissions under negotiations,,Sound,Primary Text,40514,79,79a-d,C79a-C79d,1028,T5019 - Dialogue Compilation - Zapotec (Work compilation).,,C79a-d used for same coding,@ALA1971T5182 @ALANDT5019
31,Zapotec,29239,,,T5182,Raw audio,Zapotec 3,Zapotec recordings sent from Gregory Truex in Mexico.,,,Dialogue,,,"1 male, 1 female",,,zap,Zapotec,Zapotec,,,,,1971-01,,Gregory Truex,SIL Mexico,SIL Mexico,Alan Lomax,,"1/4"" wide magnetic audio tape.  5"" reel.  7.5 ips.  ",,A00123,TP5182R03,"24 bit, 96 kHz, uncompressed .wav",2005-11,Toshiba,I,,Permissions under negotiations,,Sound,Primary Text,40514,79,79a-d,C79a-C79d,1028,T5019 - Dialogue Compilation - Zapotec (Work compilation).,,C79a-d used for same coding,@ALA1971T5182 @ALANDT5019
32,Haudenosaunee,17282,,,T5213,Raw audio,Oneida monologue Side 1,Oneida recordings sent from Floyd Lounsbury of Yale University.,,Monologue about an illness and subsequent treatment. ,Monologue,,,"1 male, age 93",,ONE,one,Oneida,Oneida,,ENG,,,,,Floyd Lounsbury,Yale University,,Alan Lomax,,"1/4"" wide magnetic audio tape.  5"" reel.  7.5 ips.  ",,A00174,TP5213R01,"24 bit, 96 kHz, uncompressed .wav",2005-12,Toshiba,I,,Permissions under negotiations,,Sound,Primary Text,4195396,529,,,1078,,"This coding is listed as C529 on the computer coding printout, but this does not match tape index. No C#s on coding sheets.",,@ALANDT5213
32,Haudenosaunee,17282,,,T5213,Raw audio,Oneida monologue Side 2,Oneida recordings sent from Floyd Lounsbury of Yale University.,,Monologue about an illness and subsequent treatment. ,Monologue,,,"1 male, age 93",,ONE,one,Oneida,Oneida,,ENG,,,,,Floyd Lounsbury,Yale University,,Alan Lomax,,"1/4"" wide magnetic audio tape.  5"" reel.  7.5 ips.  ",,A00175,TP5213R02,"24 bit, 96 kHz, uncompressed .wav",2005-12,Toshiba,I,,Permissions under negotiations,,Sound,Primary Text,4195396,529,,,1078,,"This coding is listed as C529 on the computer coding printout, but this does not match tape index. No C#s on coding sheets.",,@ALANDT5213
33,Ojibwe,13718,,,T5148,Raw audio,Ojibwa talking,"Guajiro, Ojibwa, Makiritare, Noamana, and Cayapo dubs from Dr. Helmuth Fuchs tapes.",Dubbed from Royal Ontario Museum,Two males speaking Ojibwa.,Dialogue,,Natural conversation.,2 males,,,oji,Ojibwa,Ojibwa,,,"Toronto, Ontario",,Oct-71,,,,Helmuth Fuchs,Alan Lomax,"Guajiro, Ojibwa, Makiritare, Noamana, and Cayapo dubs from Dr. Helmuth Fuchs tapes.",60 Minute Analog Cassette Tape. ,,A00319,TP5148R09,"24 bit, 96 kHz, uncompressed .wav",2005-02,Onkyo,I,,Permissions under negotiations,,Sound,Primary Text,34370,67,67,"C540a-C540c, C541, C542, C67, C68a-C68b",900,T5038 - American Hunter Compilation - Ojibwa (Area compilation); T5016 - Dialogue Compilation - Ojibwa talking (Work compilation).,,,@ALA1971T5148 @ALANDT5038 @ALA1971T5016
34,Apsáalooke,14169,,,T5194,Raw audio,Crow Dialogue,"Crow (Siouxan) recordings sent from Mr. and Mrs. Raymond Gordon of Crow Agency, Montana.",,Crow Dialogue,Dialogue,,,1 male; 1 female,,CRO,cro,Crow,Crow,,,,,Jan-72,,Mr. and Mrs. Raymond Gordon,"Crow Agency, Montana",,Alan Lomax,,"1/4"" wide magnetic audio tape.  5"" reel.  3.75 ips.  ",,A00134,TP5194R01,"24 bit, 96 kHz, uncompressed .wav",2005-12,Toshiba,I,,Permissions under negotiations,,Sound,Primary Text,1092,528,,,1059,,"This coding is listed as C528 on the computer coding printout, but this does not match tape index.",,@ALA1972T5194
35,Tsuutʼina,25026,,,T5227,Raw audio,Sarsi Conversation,Sarcee and Kiowa-Apache recordings sent by Dr. John Beatty of the Department of Anthropology and CUNY - Brooklyn College.,,Two women speaking in Sarci,Dialogue,,,2 females,,SRS,srs,Sarsi,Sarcee,,ENG,"Tsuu T'ina 145, Alberta",,1970-05-22,,John Beatty,"Department of Anthropology, CUNY - Brooklyn College",,Alan Lomax,Sarcee; Kiowa-Apache,"1/4"" wide magnetic audio tape.  5"" reel.  7.5 ips.  ",,A00199,TP5227R01,"24 bit, 96 kHz, uncompressed .wav",2005-01,Toshiba,I,,Permissions under negotiations,,Sound,Primary Text,579,130,96,,1090,T5023 - Dialogue Compilation - Sarsi (Work compilation).,"Computer coding printout lists this coding as C130, but tape index lists it as C96",,@ALA1970T5227 @ALANDT5023
36,Káínawa,12343,,,T5193,Raw audio,Blackfoot side one,Side One.  Blackfoot recordings sent from Donald G. Frantz of Arrowwood Canada.,,,Dialogue,,,"1 male, 1 female","Tom Aiguns, Agnes Blackrabbit",BLC,bla,Blackfoot,Blackfoot,,ENG,,,1971-10-29,,Donald Frantz,,,Alan Lomax,,"1/4"" wide magnetic audio tape.  2"" reel.  3.75 ips.  ",,A00132,TP5193R01,"24 bit, 96 kHz, uncompressed .wav",2005-12,Toshiba,I,,Permissions under negotiations,,Sound,Primary Text,48194,94,,,1058,,"This coding is listed as C94 on the computer coding printout, but this does not match tape index. Coding sheets missing. Date on T-list says Jan-72",,@ALA1971T5193
36,Káínawa,12343,,,T5193,Raw audio,Blackfoot side two,Side Two.  Blackfoot recordings sent from Donald G. Frantz of Arrowwood Canada.,,,Dialogue,,,"1 male, 1 female","Tom Aiguns, Agnes Blackrabbit",BLC,bla,Blackfoot,Blackfoot,,ENG,,,1971-10-29,,Donald Frantz,,,Alan Lomax,,"1/4"" wide magnetic audio tape.  2"" reel.  3.75 ips.  ",,A00133,TP5193R02,"24 bit, 96 kHz, uncompressed .wav",2005-12,Toshiba,I,,Permissions under negotiations,,Sound,Primary Text,48194,94,,,1058,,"This coding is listed as C94 on the computer coding printout, but this does not match tape index. Coding sheets missing. Date on T-list says Jan-72",,@ALA1971T5193
37,Achomawi,10110,,,T5186,Raw audio,Achumawi folktale,Achumawi recordings sent from D. L. Olmsted of U.C. Davis.,,"Folktale entitled ""Coyote and his children""",Monologue,,,"1 male, age 75",Frank Winn,ACH,acv,Achumawi,Achumawi,,ENG,,,1955-08-01,,D.L. Olmsted,"Department of Anthropology, UC Davis",,Alan Lomax,,"1/4"" wide magnetic audio tape.  7"" reel.  7.5 ips.  ",,A00124,TP5186R01,"24 bit, 96 kHz, uncompressed .wav",2005-12,Toshiba,I,,Permissions under negotiations,,Sound,Primary Text,12583748,527,,,1051,T5036 - Achumawi folktale (Work compilation).,"This coding is listed as C527 on the computer coding printout, but this does not match tape index. Date on T-list says Jan-72",,@ALA1955T5186 @ALANDT5036
38,Konkow,18877,,,T5183,Raw audio,Coyote and the Ground Squirrels,Konkow Tape #1 sent from Russel Ultan,,,Monologue,,,1 male,Leland Scott,,mjd,"Maidu, Northwest",Konkow,,,,North Fork Feather River,1962-11,,,,Russel Ultan,Alan Lomax,,"1/4"" wide magnetic audio tape.  5"" reel.  7.5 ips.  ",,A00027,TP5183R01,"24 bit, 96 kHz, uncompressed .wav",2005-10,Toshiba,I,,Permissions under negotiations,,Sound,Primary Text,8389444,526,,,1050a,,"This coding is listed as C526 on the computer coding printout, but this does not match tape index. Coding sheet lists Cat. # as 1052, which is incorrect (probably a numbering error). Date on T-list says Jan-72",The three Konkow recordings all used for same coding.,@ALA1962T5183
38,Konkow,18877,,,T5184,Raw audio,The Dead Man's Gift of Fish,Konkow Tape #2 sent from Russel Ultan,,,Monologue,,,1 male,Leland Scott,,mjd,"Maidu, Northwest",Konkow,,,,North Fork Feather River,1963-08,,,,Russel Ultan,Alan Lomax,,"1/4"" wide magnetic audio tape.  5"" reel.  7.5 ips.  ",,A00026,TP5184R01,"24 bit, 96 kHz, uncompressed .wav",2005-10,Toshiba,I,,Permissions under negotiations,,Sound,Primary Text,8389444,526,,,1050b,,"This coding is listed as C526 on the computer coding printout, but this does not match tape index. Coding sheet lists Cat. # as 1052, which is incorrect (probably a numbering error). Date on T-list says Jan-72",The three Konkow recordings all used for same coding.,@ALA1963T5184
38,Konkow,18877,,,T5185,Raw audio,The Lost Swimmer,Konkow Tape #3 sent from Russel Ultan,,,Monologue,,,1 male,Leland Scott,,mjd,"Maidu, Northwest",Konkow,,,,North Fork Feather River,1963-08,,,,Russel Ultan,Alan Lomax,,"1/4"" wide magnetic audio tape.  5"" reel.  7.5 ips.  ",,A00028,TP5185R01,"24 bit, 96 kHz, uncompressed .wav",2005-10,Toshiba,I,,Permissions under negotiations,,Sound,Primary Text,8389444,526,,,1050c,,"This coding is listed as C526 on the computer coding printout, but this does not match tape index. Coding sheet lists Cat. # as 1052, which is incorrect (probably a numbering error). Date on T-list says Jan-72",The three Konkow recordings all used for same coding.,@ALA1963T5185
39,Tlingit,27193,,,T5054,Raw dubs,Tlingit Songs at Yakatat,"Lomax Collection Tape #1, compilation tape of samples taken from Alan Lomax's tape library.","Dubbed from T1605 from Alan Lomax's library, Tlingit songs recorded at Yakatut by Frederica de Laguna","Four selections of Tlingit. Including story ""The Golden Eagle Scream"" with English translation. ",Monologue,0:04:51,,1 male (probably),James Sheldon ; Olaf Abraham,TLI,tli,Tlingit,Tlingit,,ENG,"Yakutat, Alaska","Yakutat, Alaska",1954-04,,Alan Lomax; Frederica de Laguna; Radio Hong Kong; Robert Carneiro and Gertrude E. Dole; BBC; Stephanie Dinkins; Tony Polunin; Harold Schultz,,Frederica De Laguna,Alan Lomax,English (Black Mississippi); Tlingit (Alaska); English (Trinidad); Spanish (Trinidad); Chinese; Amawka (Peru); Hindi; Amhara (Ethiopia); Meo (Laos); Po Mo (Northern California); Irish Gaelic; Welsh; Bacup,"1/4"" wide magnetic audio tape.  7"" reel.  7.5 ips.  ",,A00003,TP5054R03,"24 bit, 96 kHz, uncompressed .wav",2005-10,Revox,I,,Permissions under negotiations,,Sound,Primary Text,580,520,520,,,T5038 - American Hunter Compilation - Tlingit (Area compilation); T5011 - Monologue Compilation - Tlingit (Work compilation).,,,@ALA1954T5054 @ALANDT5038 @ALA1971T5011
39,Tlingit,27193,,,T5068,Raw dubs,Assorted Langs from the Parlametrics Collection,"Language sample from Parlametrics tape collection, Tape I, containing dubs from Alan Lomax's tape library for use in establishing useable samples, dubbed by Alexis Kondratiev, includes Azerbaijan, Pomo, Dani, Siriono, Eseeje, Tacana, Molina, Guarani, Waraya, Arabic, Tingit, Amawaka, Moroccan.","Dubbed from T1605 from Alan Lomax's library, Tlingit songs recorded at Yakatut by Frederica de Laguna","Four selections of Tlingit. Including story ""The Golden Eagle Scream"" with English translation. ",Monologue,,,1 male (probably),James Sheldon ; Olaf Abraham,TLI,tli,Tlingit,Tlingit,,ENG,"Yakutat, Alaska","Yakutat, Alaska",,,,,,Alan Lomax,"Azerbaijani, Pomo, Dani, Siriono, Esseje, Tacana, Molna, Guarani, Waraya, Arabic, Tingit, Amawaka, Moroccan","1/4"" wide magnetic audio tape.  7"" reel.  7.5 ips.  ",,A00264,TP5068R01,"24 bit, 96 kHz, uncompressed .wav",2005-02,Toshiba,I,,Permissions under negotiations,,Sound,Primary Text,580,520,520,,,T5038 - American Hunter Compilation - Tlingit (Area compilation); T5011 - Monologue Compilation - Tlingit (Work compilation).,,,@ALANDT5068 @ALANDT5038 @ALA1971T5011
40,Dakelh,13234,,,T5263,Raw audio,Carrier Sample,Carrier recordings from Canada sent from Dick Walker of SIL Canada.,,Five minutes of natural conversation,Dialogue,0:05:00,,2 subjects (genders and ages unknown),,CAR,crx,Carrier,Carrier,,ENG,,,,,,SIL Canada,Dick Walker,Alan Lomax,,,,,,,,,I,,,,Sound,Primary Text,35394,69,69,C69,,T5038 - American Hunter Compilation - Carrier (Area compilation); T5045 - Demonstration Tape - Carrier (Demonstration).; T5016 - Dialogue Compilation - Carrier Sample (Work compilation).,,,@ALANDT5263 @ALANDT5038 @ALANDT5045 @ALA1971T5016
41,Sahtu Dene,25730,,,T5249,Raw audio,"Discussion about bush pilot in Slavey, South",Slave recordings from Canada sent by Pierre Stevens.,,Old man talks about contemporary problem (bush pilot overcharging him) to his son. ,Dialogue,,,2 males,Johnny Klondike; Jimmy Klondike,SLA,xsl,"Slavey, South",Slave,,,"Fisherman Lake near Fort Liard, Northwest Territories, Canada","Fisherman Lake near Fort Liard, Northwest Territories, Canada",1974,,Pierre Stevens,,,Alan Lomax,,"1/4"" wide magnetic audio tape.  5"" reel.  7.5 ips.  ",,A00238,TP5249R01,"24 bit, 96 kHz, uncompressed .wav",2005-01,Revox,I,,Permissions under negotiations,,Sound,Primary Text,1091,132,,,2007,,,,@ALA1974T5249
42,Algonquin,10341,,,T5139,Raw audio,Conversation and Vocabulary,"Side A: Navajo - Shooting Way, Lukachukai, Arizona (WA 2.7.282); Side B: Algonquin conversation and vocabulary from Bessie Stanley and Gladis Paul.",,Conversation followed by vocabulary and word list.,Dialogue,0:19:00,,,,,alq,Algonquin,Algonquin,,ENG,"Pleasant Point, Maine","Pleasant Point, Maine",1967-06-29,,,,Bessie Stanley ; Gladis Paul,Alan Lomax,Navajo; Algonquin,"1/4"" wide magnetic audio tape.  7"" reel.  7.5 ips.  ",,A00056,TP5139R02,"24 bit, 96 kHz, uncompressed .wav",2005-10,Revox,I,,Permissions under negotiations,,Sound,Primary Text,52290,102,,,,,"Not positive that this is the recording used for the Algonquin coding, as I can't find metadata anywhere. However, the only other Algonquin recording we have is less than a minute and is associated with C553 (presumably not used for final codings), so I am assuming this is the one.",,@ALANDT5139
43,Netsilik,17234,,,T5143,Raw audio,Netsilik Eskimos; Mosquito Indians (English),"Netsilik Eskimos from EDC films; and Mosquito Indians speak English from B&C Films, ""People of the Turtle.""",,,,,,,,,ikt,Inuinnaqtun,,Netsilik,,,,,,,EDC Films; B&C Films,,Alan Lomax,Netsilik; English (Mosquito),,,,,,,,I,,,,Sound,Primary Text,64066,125,,,2008,,,Both Netsilik recordings used for same coding.,@ALANDT5143
43,Netsilik,17234,,,T5144,Raw audio,Netsilik Eskimos,Netsilik Eskimos from EDC Films.,,,,,,,,,ikt,Inuinnaqtun,,Netsilik,,,,,,,EDC Films,,Alan Lomax,,,,,,,,,I,,,,Sound,Primary Text,64066,125,,,2008,,,Both Netsilik recordings used for same coding.,@ALANDT5144
44,Yu'pik,10286,,,T5250,Raw audio,Short discussions in Inupiatun,Two short conversations in Iñupiatun of the Kobuk River. ,,Two short conversations in Iñupiatun of the Kobuk River. ,Dialogue,,Good animation. ,"2 males, age 45 and 90",Qunannaaluk Daniel Foster; Avilyuqtaq Billy Black,ESK,esk,"Inupiatun, Northwest Alaska",Kuuvanmiutun,,,"Noorvik, Alaska, USA","Noorvik, Alaska, USA",,,Wilfried Zibell,SIL Alaska,SIL Alaska,Alan Lomax,,"1/4"" wide magnetic audio tape.  2"" reel.  7.5 ips.  ", Good clear recording.,A00239,TP5250R01,"24 bit, 96 kHz, uncompressed .wav",2005-01,Revox,I,,Permissions under negotiations,,Sound,Primary Text,35906,70,70a-b,C70a-C70b,913,T5038 - American Hunter Compilation - Kuuvaniutum (Area compilation); T5016 - Dialogue Compilation - Kuuvanmiutun Sample (Work compilation).,Listed as C70a but don't see any other recordings for C70.,,@ALANDT5250 @ALANDT5038 @ALA1971T5016
45,Chaunsky Chuckchi,13850,,,,,,,,,,,,,,,ckt,Chukchi,Chuckchee,,,,,,,,,,Alan Lomax,,,,,,,,,,,,,Sound,Primary Text,56386,110,,,,,"Cannot figure out how Chuckchi codings correspond to recordings. There are the three recordings on T5225 that could contain Chuckchi, plus possibly more that are not on this sheet. One of the T5225 recordings corresponds with C549, which is listed as Chuckchi in the tape index but not on the computer coding printout. Can only find one Chuckchi coding sheet, and it is listed as C88, which does not match any other documents.",,
46,Chaunsky Chuckchi,13850,,,,,,,,,,,,,,,ckt,Chukchi,Chuckchee,,,,,,,,,,Alan Lomax,,,,,,,,,,,,,Sound,Primary Text,56898,111,,,,,"Cannot figure out how Chuckchi codings correspond to recordings. There are the three recordings on T5225 that could contain Chuckchi, plus possibly more that are not on this sheet. One of the T5225 recordings corresponds with C549, which is listed as Chuckchi in the tape index but not on the computer coding printout. Can only find one Chuckchi coding sheet, and it is listed as C88, which does not match any other documents.",,
47,Even,15192,,,,,,,,,,,,,,,eve,Even,Even (Lamut),,,,,,,,,,Alan Lomax,,,,,,,,,,,,,Sound,Primary Text,62018,121,,,,,"Not sure if these correspond to T5225 Even recordings, or others not listed here. Cannot find in tape index or coding sheets.",,
48,Chaunsky Chuckchi,13850,,,,,,,,,,,,,,,ckt,Chukchi,Chuckchee,,,,,,,,,,Alan Lomax,,,,,,,,,,,,,Sound,Primary Text,4195140,525,88,,,,"Cannot figure out how Chuckchi codings correspond to recordings. There are the three recordings on T5225 that could contain Chuckchi, plus possibly more that are not on this sheet. One of the T5225 recordings corresponds with C549, which is listed as Chuckchi in the tape index but not on the computer coding printout. Can only find one Chuckchi coding sheet, and it is listed as C88, which does not match any other documents.",,
49,Yakut,28898,,,T5142,Raw audio,Yakut monologue,"Siberian - Nenets, Khanty, Evenki, Yakut - dubbed from Austerlitz tapes 510, 511, 514. 517, and 535.",Dubbed from Rose Nash Collection of recordings made in the Soviet Union in 1970 at Herzen Pedagogical Institute.,"Speaker gives bio info, counts, and reads story of the North Wind.",Monologue,0:03:00,,1 male,,UKT,sah,Yakut,Yakut,,ENG,"Moscow State Linguistic University, Moscow, Russia (formerly First Moscow State Pedagogical Institute of Foreign Languages)
",,1970,,Rose Nash,"Inter-American University, Puerto Rico, Department of English and Linguistics",Robert P. Austerlitz,Alan Lomax,Nenets (Siberia); Khanty (Siberia); Evenki (Siberia); Yakut (Siberia),"1/4"" wide magnetic audio tape.  7"" reel.  7.5 ips.  ",Clear recording. ,A00064,TP5142R06,"24 bit, 96 kHz, uncompressed .wav",2005-10,Revox,I,,Permissions under negotiations,Prof. Austerlitz has passed away,Sound,Primary Text,2627,138,517,"C510, C511, C514. C517, C535",,T5009 - Monologue Compilation - Yakut (Work compilation).,"In the recording itself, the location is noted as the First Moscow Pedagogical Institute of Foreign Languages. However, some metadata associated with this recording lists the location as the Herzen Pedagogical Institute in St. Petersburg.",,@ALA1970T5142 @ALA1971T5009
50,Nivkh,15907,,,T5142,Raw audio,Muffled Recording,"Siberian - Nenets, Khanty, Evenki, Yakut - dubbed from Austerlitz tapes 510, 511, 514. 517, and 535.","Dubbed from Austerlitz tapes 510, 511, 514. 517, and 535.","1 male, recitation of dietary rules, etc.,",Monologue,0:08:45,,1 male,,,niv,Gilyak,Nivkh,,,,,,,,,Robert P. Austerlitz,Alan Lomax,Nenets (Siberia); Khanty (Siberia); Evenki (Siberia); Yakut (Siberia),"1/4"" wide magnetic audio tape.  7"" reel.  7.5 ips.  ","Dubbed from Robert Austerlitz's tape, which was taped in the field. Any second voice on tape is that of Austerlitz .Fuzzy recording. Unclear documentation.",A00059,TP5142R01,"24 bit, 96 kHz, uncompressed .wav",2005-10,Revox,I,,Permissions under negotiations,Prof. Austerlitz has passed away,Sound,Primary Text,65347,510,510,"C510, C511, C514. C517, C535",,T5009 - Monologue Compilation - Nivkh (Work compilation).,Language believed to be Nivkh,T5142R01 and T5142R02 are both used for same coding.,@ALANDT5142 @ALA1971T5009
50,Nivkh,15907,,,T5142,Raw audio,Muffled Recording II,"Siberian - Nenets, Khanty, Evenki, Yakut - dubbed from Austerlitz tapes 510, 511, 514. 517, and 535.","Dubbed from Austerlitz tapes 510, 511, 514. 517, and 535.","1 male, recitation of dietary rules, etc.,",Monologue,0:08:47,,1 male,,,niv,Gilyak,Nivkh,,,,,,,,,Robert P. Austerlitz,Alan Lomax,Nenets (Siberia); Khanty (Siberia); Evenki (Siberia); Yakut (Siberia),"1/4"" wide magnetic audio tape.  7"" reel.  7.5 ips.  ","Dubbed from Robert Austerlitz's tape, which was taped in the field. Any second voice on tape is that of Austerlitz .Fuzzy recording. Unclear documentation.",A00060,TP5142R02,"24 bit, 96 kHz, uncompressed .wav",2005-10,Revox,I,,Permissions under negotiations,Prof. Austerlitz has passed away,Sound,Primary Text,65347,510,510,"C510, C511, C514. C517, C535",,T5009 - Monologue Compilation - Nivkh (Work compilation).,Language believed to be Nivkh,T5142R01 and T5142R02 are both used for same coding.,@ALANDT5142 @ALA1971T5009
51,Hokkaido Ainu,16809,,,T5011,Work compilation,Monologue Compilation - Ainu,"Monologues collected from various sources for Parlametrcis, including Dr. Rose Nash's collection from the Soviet Union, T1718 from Alan Lomax's tape library, T1605 from Alan Lomax's tape library, T3074 from Alan Lomax's tape library, T3113 from Alan Lomax's tape library, and T1479-T1480 from Alan Lomax's tape library.","Dubbed from T1479 from Alan Lomax's library, Ainu III: Music dubbed from Folkways Asia 2.3; with commentary by William A. Murphy, translator for Dr. Kyojiro Kondo",Two Narrative poems.,Monologue,,,1 male,,,ain,Ainu,Ainu,,,,,Oct-71,,"Dr. Rose Nash; Alan Lomax (T1718); Frederica de Laguna (T1605); Nick Mutticombe, Kal Muller (T3074); Jorge Preloran (T3113); Kyojiro Kondo (T1479-T1480)",,,Alan Lomax,Lak (Soviet Union); Georgian (Soviet Union); Tlingit (Amerindia); Pomo (Amerindia); Pentecost Island; Warao (Venezuela); Ainu (Japan),"1/4"" wide magnetic audio tape.  7"" reel.  7.5 ips.  ",,,,,,,III,,,,Sound,Primary Text,836,524,,C518-C524,,T5011 - Monologue Compilation - Ainu (Work compilation).,Work compilation version of P_id 51,Take into consideration that this is verse.,@ALA1971T5011
52,Japan Unspecified,62532,,,T5154,Raw audio,"Japanese Recordings from ""Bilingual Shift""","Japanese recordings from the soundtrack of Dorothy Deng's film, ""Bilingual Shift,"" second dub, revised 1/71.","From the soundtrack of Dorothy Deng's film, ""Bilingual Shift,""",,Dialogue,,Subjects seemed more relaxed toward end.,"1 male, 1 female, in their 20s",,,jpn,Japanese,Japanese,,,"Teacher's College, New York",,Jan-71,,Dorothy Deng,,,Alan Lomax,,,,,,,,,I,,,,Sound,Primary Text,23618,55,55,C55,904,T5010 - Dialogue Compilation - Japanese (Work compilation).,,,@ALA1971T5154 @ALA1971T5010
53,Urban S Korea,18932,,,T5220,Raw audio,Korean elicitation,Korean recordings sent by Dorothy Deng.,,Korean elicitation ,Dialogue,,,"1 male, 1 female, in their 20s",,KKN,kor,Korean,Korean,,ENG,,,,,Dorothy Deng,,,Alan Lomax,,"1/4"" wide magnetic audio tape.  7"" reel.  3.75 ips.  ",Overdubbed discussion and translation in english (on the right channel).,A00189,TP5220R01,"24 bit, 96 kHz, uncompressed .wav",2005-12,Toshiba,I,,Permissions under negotiations,,Sound,Primary Text,42050,82,,,1085,,"This coding is listed as C82 on the computer coding printout, but this does not match tape index",,@ALANDT5220
54,Evenki,27666,,,,,,,,,,,,,,EVN,evn,Evenki,Evenki,,,,,,,,,,Alan Lomax,,,,,,,,,,,,,Sound,Primary Text,2371,137,,,,,"Not sure if these correspond to T5225 Evenki recordings, or others not listed here. Cannot find in tape index or coding sheets.",,
55,Nanai,16017,,,T5225,,"Siberian Language Samples, Side One, Left Channel","Alan Lomax Parlametrics - Could include Chukchee, Khant, Nanai, Yakut, Even, Evenki, and Nenets",,,,,,,,,,,,,RUS,,,,,source unknown,,,Alan Lomax,"Chukchee, Khant, Nanai, Yakut, Even, Evenki, and Nenets","1/4"" wide magnetic audio tape.  5"" reel.  3.75 ips.  ",,A00196,TP5225R01,"24 bit, 96 kHz, uncompressed .wav",2005-01,Toshiba,I,,Permissions under negotiations,,Sound,Primary Text,63042,123,,,,,Not sure which recording corresponds to the coding. Could not find coding sheet.,,@ALANDT5225
55,Nanai,16017,,,T5225,,"Siberian Language Samples, Side One, Right Channel","Alan Lomax Parlametrics - Could include Chukchee, Khant, Nanai, Yakut, Even, Evenki, and Nenets",,,,,,,,,,,,,RUS,,,,,source unknown,,,Alan Lomax,"Chukchee, Khant, Nanai, Yakut, Even, Evenki, and Nenets","1/4"" wide magnetic audio tape.  5"" reel.  3.75 ips.  ",,A00197,TP5225R02,"24 bit, 96 kHz, uncompressed .wav",2005-01,Toshiba,I,,Permissions under negotiations,,Sound,Primary Text,63042,123,,,,,Not sure which recording corresponds to the coding. Could not find coding sheet.,,@ALANDT5225
55,Nanai,16017,,,T5225,,"Siberian Language Samples, Side Two","Alan Lomax Parlametrics - Could include Chukchee, Khant, Nanai, Yakut, Even, Evenki, and Nenets",,,,,,,,,,,,,RUS,,,,,source unknown,,,Alan Lomax,"Chukchee, Khant, Nanai, Yakut, Even, Evenki, and Nenets","1/4"" wide magnetic audio tape.  5"" reel.  3.75 ips.  ",,A00198,TP5225R03,"24 bit, 96 kHz, uncompressed .wav",2005-01,Toshiba,I,,Permissions under negotiations,,Sound,Primary Text,63042,123,,,,,Not sure which recording corresponds to the coding. Could not find coding sheet.,,@ALANDT5225
56,Evenki,27666,,,T5142,Raw audio,Evenki monologue,"Siberian - Nenets, Khanty, Evenki, Yakut - dubbed from Austerlitz tapes 510, 511, 514. 517, and 535.",Dubbed from Rose Nash Collection of recordings made in the Soviet Union in 1970 at Herzen Pedagogical Institute.,Includes counting and text. ,Monologue,0:04:12,Poor animation,1 female,,EVN,evn,Evenki,Evenki,,ENG,"Herzen Pedagogical Institute, St. Petersburg, Russia (formerly Leningrad)","St. Petersburg, Russia",1970,,Rose Nash,"Inter-American University, Puerto Rico, Department of English and Linguistics",Robert P. Austerlitz,Alan Lomax,Nenets (Siberia); Khanty (Siberia); Evenki (Siberia); Yakut (Siberia),"1/4"" wide magnetic audio tape.  7"" reel.  7.5 ips.  ",Clear recording.  ,A00063,TP5142R05,"24 bit, 96 kHz, uncompressed .wav",2005-10,Revox,I,,Permissions under negotiations,Prof. Austerlitz has passed away,Sound,Primary Text,12584260,535,535,C535,,T5014 - Monologue Compilation - Evenki (Work compilation).,,,@ALA1970T5142 @ALA1971T5014
